0:0:0:0:0:0:0:1 - - [23/May/2022:10:14:27 +0900] "GET /FreeBoard/chap10-original/freeboard_read.jsp?id=2&page=1 HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [23/May/2022:10:14:28 +0900] "GET /FreeBoard/chap10-original/freeboard_upd.jsp?id=2&page=1 HTTP/1.1" 200 3216
0:0:0:0:0:0:0:1 - - [23/May/2022:10:14:32 +0900] "POST /FreeBoard/chap10-original/freeboard_upddb.jsp?id=2&page=1 HTTP/1.1" 500 8714
0:0:0:0:0:0:0:1 - - [23/May/2022:10:16:09 +0900] "POST /FreeBoard/chap10-original/freeboard_upddb.jsp?id=2&page=1 HTTP/1.1" 500 8714
0:0:0:0:0:0:0:1 - - [23/May/2022:10:16:18 +0900] "POST /FreeBoard/chap10-original/freeboard_upddb.jsp?id=2&page=1 HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [23/May/2022:10:16:21 +0900] "POST /FreeBoard/chap10-original/freeboard_upddb.jsp?id=2&page=1 HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [23/May/2022:10:17:49 +0900] "GET /FreeBoard/bootstrap-4.6.1-dist/css/bootstrap.min.css.map HTTP/1.1" 200 653535
0:0:0:0:0:0:0:1 - - [23/May/2022:10:18:56 +0900] "GET /FreeBoard/chap10-original/freeboard_list.jsp?go=1 HTTP/1.1" 200 4684
0:0:0:0:0:0:0:1 - - [23/May/2022:10:18:56 +0900] "GET /FreeBoard/chap10-original/freeboard_read.jsp?id=2&page=1 HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [23/May/2022:10:18:58 +0900] "GET /FreeBoard/chap10-original/freeboard_upd.jsp?id=2&page=1 HTTP/1.1" 200 3216
0:0:0:0:0:0:0:1 - - [23/May/2022:10:19:36 +0900] "GET /FreeBoard/chap10-original/freeboard_upd.jsp?id=2&page=1 HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [23/May/2022:10:19:44 +0900] "POST /FreeBoard/chap10-original/freeboard_upddb.jsp?id=2&page=1 HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [23/May/2022:10:19:45 +0900] "GET /FreeBoard/chap10-original/freeboard_list.jsp?go=1 HTTP/1.1" 200 4684
